year,1,2,3,4,5,6,7,8,9,10,11,12
1976,12.96000004,9.289999962,0,68.47000122,154.6799927,407.4599915,180.4600067,75.30999756,147.7599945,92.01000214,98.37000275,23.52000046
1977,0,3.799999952,0,95.18000031,207.2100067,212.9499969,42.02999878,118.1999969,197.75,23.34000015,93.08000183,37.31999969
1978,3.470000029,4.349999905,30.18000031,37.77000046,136.7799988,186.6000061,118.5400009,169.3000031,229.8800049,48.40999985,28.80999947,33.70000076
1979,0.930000007,24.63999939,3.309999943,96.01999664,176.8200073,232.1499939,177.9199982,226.2599945,358.1000061,124.1399994,12.64000034,32.77000046
1980,7.789999962,8.81000042,34.41999817,48.54999924,149.3300018,202.2599945,179.9100037,155.8800049,233.3300018,108.4700012,59.54000092,22.77000046
1981,5.230000019,16.31999969,44,48.33000183,153.1199951,296.6900024,159.4299927,257.3299866,250.5800018,195.2899933,24.46999931,23.12999916
1982,2.589999914,12.85000038,5.340000153,26.20999908,188.9199982,146.7400055,117.4899979,52.74000168,264.4299927,118.7699966,23.39999962,19.48999977
1983,1.330000043,81.69999695,44.43000031,40.52999878,64.73999786,244.0500031,202.7200012,132.6300049,189.6600037,82.04000092,103.8700027,27.19000053
1984,7.769999981,6.699999809,43.77000046,37.47000122,230.3600006,233.6199951,210.5700073,140.8800049,338.0599976,68.18000031,27.77000046,12.14000034
1985,6.710000038,6.329999924,3.710000038,73.34999847,147.5299988,200.7200012,128.5,111.7300034,158.8099976,67.65000153,53.11999893,38.09000015
1986,13.09000015,7.070000172,2.200000048,17.15999985,228.7599945,124.2699966,103.8099976,90.58000183,118.0500031,114.6299973,40.02000046,15.07999992
1987,4.039999962,24.48999977,64.34999847,32.81000137,72.13999939,224.9700012,131.5099945,57.27999878,213.8899994,7.090000153,36.47999954,31.67000008
1988,9.460000038,4.650000095,24.87000084,57.41999817,99.02999878,294.2600098,133.5500031,253.8300018,275,112.0800018,59.74000168,3.980000019
1989,11.51000023,1.850000024,72.36000061,111.0500031,215.7299957,139.25,177.2100067,181.8600006,177.2400055,129.3399963,85.16999817,48.09000015
1990,8.420000076,10.64000034,21.72999954,110.2099991,123.2600021,215.5299988,139.2200012,101.9400024,258.2399902,72.33999634,82.37999725,46.59000015
1991,4.610000134,3.079999924,1.210000038,53.72999954,158.3800049,231.9900055,76.55999756,91.55000305,149.4600067,144.1699982,61.06999969,84.05999756
1992,8.279999733,11.52000046,15.21000004,50.81000137,72.77999878,258.6900024,86.09999847,103.4800034,175.8999939,65.5,53.22999954,11.11999989
1993,16.43000031,8.239999771,34.06999969,52.93999863,124.1699982,280.6099854,89.11000061,174.6499939,176.25,132.1499939,11.35999966,7.090000153
1994,18.30999947,3.690000057,6.639999866,66.76999664,93.11000061,197.9299927,89.45999908,141.6000061,135.3600006,100.5999985,35.52999878,12.22999954
1995,4.920000076,6.440000057,13.81999969,132.8800049,165.2200012,229.9299927,150.8699951,242.4100037,329.0599976,83.09999847,20.20000076,33.02999878
1996,16.62000084,5.409999847,14.77999973,164.9400024,184.4700012,228.5800018,219.2200012,173.3200073,178.6399994,141.7700043,79.55999756,14.06000042
1997,14.81000042,21.79000092,27.40999985,43.50999832,122.0400009,185.7700043,141.0899963,133.1399994,277.7099915,115.0599976,68.18000031,25.11000061
1998,4.03000021,2.960000038,8.409999847,10.19999981,79.11000061,174.7899933,142.75,139.3500061,240.6799927,149.2899933,96.98000336,10.61999989
1999,9.770000458,17.05999947,2.710000038,54.93000031,90.34999847,331.4599915,174.9199982,181.6900024,338.6700134,209.8099976,37.02000046,18.81999969
2000,5.699999809,2.380000114,6.21999979,22.57999992,227.3800049,247.5,74.05999756,211.7299957,336.6000061,81.63999939,28.65999985,14.30000019
2001,6.949999809,8.260000229,14.13000011,24.82999992,172.5899963,182.4100037,224.2799988,168.4700012,231.3999939,156.5200043,9.140000343,9.239999771
2002,3.380000114,3.25999999,0.730000019,9.840000153,150.0200043,223.9299927,147.6300049,92.66000366,228.6699982,122.2600021,31.30999947,15.39999962
2003,6.639999866,13.52000046,27.61000061,25.12999916,103.0400009,253.1000061,100.4599991,108.7699966,166.3200073,116.4499969,38.43999863,17.82999992
2004,6.349999905,6.570000172,7.28000021,72.66000366,165.7599945,208.1600037,76.87999725,59.68000031,207.5500031,158.3300018,31.71999931,15.39000034
2005,4.150000095,2.880000114,96.58999634,28.38999939,167.2400055,254.2700043,207.6600037,217.1999969,262.730011,125.2200012,19.43000031,8.760000229
2006,43.31000137,8.460000038,14.68999958,64.25,204.3300018,234.7100067,145.2599945,93.15000153,136.9700012,142.3099976,52.40999985,28.40999985
2007,11.39000034,2.170000076,10.71000004,66.80999756,76.84999847,271.0700073,122.6600037,205.9499969,238.0899963,124.8799973,25.26000023,14.03999996
2008,10.26000023,18.02000046,10.89999962,44.38999939,74.01000214,203.8600006,161.4400024,182.9799957,285.3099976,192.1799927,11.27000046,12.17000008
